Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean,Label
9651597,135,1,1,6,4,5.429556025594601,0.0,1.1408879488107988,0.0,478705.4013650984,110711.10269326685,8.0,0.0,16.006892179162204,0.0,0,0,0,0,1,0,32,0,74678.60435506124,250000.0,4,5,4.570443974405399,0.0,7.859112051189201,5.140887948810799,3.422663846432396,34,142,0,0,4
80,635639,3,6,26,11607,8.666666667,10.26320288,1934.5,2538.919278,18301.26849,14.15898018,79454.875,223752.9046,946.0,127112.2,0,0,0,1,0,0,72,132,4.719660059,9.439320117,0,5840,1163.3,2138.329153,1292.555556,8.666666667,1934.5,8192,229,0,0,1
80,1164403,3,6,26,11601,8.666666667,10.26320288,1933.5,1495.722401,9985.374479,7.729282731,145550.375,401799.6083,11981.0,232880.4,0,0,0,1,0,0,72,132,2.576427577,5.152855154,0,2920,1162.7,1494.366611,1291.888889,8.666666667,1933.5,8192,229,0,0,1
80,99228718,7,5,366,11595,52.28571429,138.3349971,2319.0,2196.731436,120.539701,0.120932732,9020792.545,29500000.0,16500000.0,36127.0,0,0,0,0,1,0,240,168,0.070544094,0.050388638,0,4344,920.0769231,1715.620318,996.75,52.28571429,2319.0,274,235,4,98100000,2
10787632,126,1,1,9,3,5.0,0.0,2.0,0.0,435477.3338121041,177179.6595773905,16.539953208956693,0.0,9.950016711086896,0.0,0,0,0,0,1,1,35,26,102535.86943877008,220125.4136850961,4,6,5.609996657782621,0.0,8.219993315565242,6.0,4.170010026652138,34,297,0,0,4
80,6465089,5,0,30,0,6.0,0.0,0.0,0.0,4.640307349,0.773384558,1616272.25,3231880.533,1616272.25,0.0,0,0,0,0,1,0,100,0,0.773384558,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,996,6464093,1
38292,34,1,1,2,6,2.0,0.0,6.0,0.0,235294.1176,58823.52941,34.0,0.0,0.0,0.0,0,0,0,1,0,0,24,20,29411.76471,29411.76471,2,6,3.333333333,2.309401077,5.0,2.0,6.0,1024,0,0,0,3
80,4639314,5,0,30,0,6.0,0.0,0.0,0.0,6.466473276,1.077745546,1159828.5,2316328.955,1159828.5,0.0,0,0,0,0,1,0,100,0,1.077745546,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,0,0,1
80,101096094,8,7,352,11595,44.0,117.2153086,1656.428571,2429.118623,118.1746943,0.148373685,7221149.571,26200000.0,14400000.0,16800000.0,1,0,0,0,0,0,244,232,0.079132632,0.069241053,0,5792,747.0625,1747.227422,796.8666667,44.0,1656.428571,0,235,16991,98100000,2
2913718,146,1,1,6,6,6.0,0.0,3.520093960523316,0.0,300000.0,226788.66454546803,19.17336465350777,0.0,19.17336465350777,0.0,0,0,0,0,1,1,41,29,110472.1369943876,199213.7353534148,5,4,5.173364653507772,0.0,8.346729307015543,6.0,6.0,33,51,0,0,4
43248,54,1,1,0,0,0.0,0.0,0.0,0.0,0.0,37037.03704,54.0,0.0,0.0,0.0,0,0,0,0,1,1,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0.0,0.0,59,439,0,0,0
139,596,2,1,8,2,4.0,2.828427125,2.0,0.0,16778.52349,5033.557047,298.0,364.8670991,596.0,0.0,0,0,0,1,0,0,44,24,3355.704698,1677.852349,2,6,3.0,2.0,4.0,4.0,2.0,1024,29200,0,0,3
80,5822878,5,0,30,0,6.0,0.0,0.0,0.0,5.152091457,0.85868191,1455719.5,2908101.289,1455719.5,0.0,0,0,0,0,1,0,100,0,0.85868191,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,5008,5817870,1
80,5836021,5,0,30,0,6.0,0.0,0.0,0.0,5.140488699,0.856748117,1459005.25,2917347.204,1459005.25,0.0,0,0,0,0,1,0,100,0,0.856748117,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,995,5835026,1
998079,167,1,1,10,6,6.0,0.0,5.181815987569262,0.0,372727.1995856421,211698.1312899365,18.27272800414358,0.0,18.27272800414358,0.0,0,0,0,0,1,1,39,34,173322.3534544843,202600.46151950903,5,5,5.727271995856421,0.0,8.727271995856421,6.0,6.0,31,185,0,0,4
