Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean,Label
54865,3,2,0,12,0,6.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,0.0,0,0,0,0,1,0,40,0,666666.6667,0.0,6,6,6.0,0.0,9.0,6.0,0.0,33,-1,0,0,0
55054,109,1,1,6,6,6.0,0.0,6.0,0.0,110091.7431,18348.62385,109.0,0.0,0.0,0.0,0,0,0,0,1,1,20,20,9174.311927,9174.311927,6,6,6.0,0.0,9.0,6.0,6.0,29,256,0,0,0
55055,52,1,1,6,6,6.0,0.0,6.0,0.0,230769.2308,38461.53846,52.0,0.0,0.0,0.0,0,0,0,0,1,1,20,20,19230.76923,19230.76923,6,6,6.0,0.0,9.0,6.0,6.0,29,256,0,0,0
46236,34,1,1,6,6,6.0,0.0,6.0,0.0,352941.1765,58823.52941,34.0,0.0,0.0,0.0,0,0,0,0,1,1,20,20,29411.76471,29411.76471,6,6,6.0,0.0,9.0,6.0,6.0,31,329,0,0,0
54863,3,2,0,12,0,6.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,0.0,0,0,0,0,1,0,40,0,666666.6667,0.0,6,6,6.0,0.0,9.0,6.0,0.0,32,-1,0,0,0
54871,1022,2,0,12,0,6.0,0.0,0.0,0.0,11741.68297,1956.947162,1022.0,0.0,1022.0,0.0,0,0,0,0,1,0,40,0,1956.947162,0.0,6,6,6.0,0.0,9.0,6.0,0.0,32,-1,0,0,0
54925,4,2,0,12,0,6.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,0.0,0,0,0,0,1,0,40,0,500000.0,0.0,6,6,6.0,0.0,9.0,6.0,0.0,32,-1,0,0,0
54925,42,1,1,6,6,6.0,0.0,6.0,0.0,285714.2857,47619.04762,42.0,0.0,0.0,0.0,0,0,0,0,1,0,20,20,23809.52381,23809.52381,6,6,6.0,0.0,9.0,6.0,6.0,32,256,0,0,0
9282,4,2,0,12,0,6.0,0.0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,0.0,0,0,0,0,1,0,40,0,500000.0,0.0,6,6,6.0,0.0,9.0,6.0,0.0,32,-1,0,0,0
55153,4,2,0,37,0,18.5,17.67766953,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,0.0,0,1,0,0,1,0,40,0,500000.0,0.0,6,31,22.66666667,14.43375673,34.0,18.5,0.0,946,-1,0,0,0
55143,3,2,0,37,0,18.5,17.67766953,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3.0,0.0,0,1,0,0,1,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,34.0,18.5,0.0,980,-1,0,0,0
55144,1,2,0,37,0,18.5,17.67766953,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1.0,0.0,0,1,0,0,1,0,40,0,2000000.0,0.0,6,31,22.66666667,14.43375673,34.0,18.5,0.0,980,-1,0,0,0
55145,4,2,0,37,0,18.5,17.67766953,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,0.0,0,1,0,0,1,0,40,0,500000.0,0.0,6,31,22.66666667,14.43375673,34.0,18.5,0.0,980,-1,0,0,0
55254,3,3,0,43,0,14.33333333,14.43375673,0.0,0.0,14300000.0,1000000.0,1.5,0.707106781,1.5,0.0,0,0,0,0,1,0,60,0,1000000.0,0.0,6,31,12.25,12.5,16.33333333,14.33333333,0.0,946,-1,0,0,0
36206,54,1,1,0,0,0.0,0.0,0.0,0.0,0.0,37037.03704,54.0,0.0,0.0,0.0,0,0,0,0,1,1,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0.0,0.0,939,1269,0,0,0
53524,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,130,-1,0,0,0
53524,154,1,1,0,0,0.0,0.0,0.0,0.0,0.0,12987.01299,154.0,0.0,0.0,0.0,0,0,0,0,1,0,32,32,6493.506494,6493.506494,0,0,0.0,0.0,0.0,0.0,0.0,130,65535,0,0,0
53526,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,130,-1,0,0,0
53526,118,1,1,0,0,0.0,0.0,0.0,0.0,0.0,16949.15254,118.0,0.0,0.0,0.0,0,0,0,0,1,0,32,32,8474.576271,8474.576271,0,0,0.0,0.0,0.0,0.0,0.0,130,65535,0,0,0
53527,239,1,1,0,0,0.0,0.0,0.0,0.0,0.0,8368.200837,239.0,0.0,0.0,0.0,0,0,0,0,1,0,32,32,4184.100418,4184.100418,0,0,0.0,0.0,0.0,0.0,0.0,130,65535,0,0,0
